job_title,company_name,work_place,work_year,education,recruit_number,release_time,company_nature,company_size,industry,salary
Android开发工程师,上海睿畜电子科技有限公司,上海-嘉定区,2年经验,本科,招2人,1-28发布,合资,少于50人,"互联网/电子商务,电子技术/半导体/集成电路",1-1.5万/月
Android开发工程师,杭州蕙兰科技有限公司,杭州-西湖区,3-4年经验,本科,招2人,1-28发布,民营公司,50-150人,"计算机软件,互联网/电子商务",1-1.5万/月
Android开发岗,成都搜江湖科技信息有限公司,成都-金牛区,3-4年经验,大专,招1人,1-28发布,民营公司,50-150人,互联网/电子商务,1-1.5万/月
Android开发工程师,天道金科股份有限公司,杭州-下城区,5-7年经验,本科,招1人,1-28发布,国企,150-500人,"金融/投资/证券,互联网/电子商务",2.5-3.5万/月
Android开发工程师,北京众友联拓科技有限公司,北京-朝阳区,2年经验,本科,招若干人,1-28发布,民营公司,少于50人,"计算机软件,互联网/电子商务",0.8-2万/月
Android开发工程师（互联网高企/双休）,海南街邻网络有限公司,珠海-珠海高新区,2年经验,大专,招1人,1-28发布,民营公司,少于50人,互联网/电子商务,0.8-1.5万/月
Android开发工程师,广州合富科技有限公司,广州-天河区,2年经验,大专,招2人,1-28发布,合资,150-500人,"互联网/电子商务,计算机软件",1-1.5万/月
Android开发工程师,广东美胸汇网络科技有限公司,广州-从化区,3-4年经验,大专,招2人,1-28发布,民营公司,150-500人,"互联网/电子商务,多元化业务集团公司",1.4-1.8万/月
Android中级/高级开发工程师,南京功夫豆信息科技有限公司,南京,3-4年经验,本科,招1人,1-28发布,合资,150-500人,"互联网/电子商务,计算机软件",1-2万/月
中级Android开发工程师,广东方纬科技有限公司,广州-番禺区,3-4年经验,本科,招1人,1-28发布,民营公司,150-500人,"计算机软件,互联网/电子商务",1-1.5万/月
Android开发工程师,北京联龙博通电子商务技术有限公司,杭州-滨江区,3-4年经验,本科,招3人,1-28发布,民营公司,1000-5000人,"互联网/电子商务,银行",1.5-2万/月
Android开发工程师,常州好开心网络科技有限公司,常州,2年经验,大专,招1人,1-28发布,民营公司,50-150人,"互联网/电子商务,计算机软件",0.8-1万/月
android高级研发工程师,深圳市智谷金云科技有限公司,深圳-罗湖区,5-7年经验,大专,招1人,1-28发布,民营公司,150-500人,"互联网/电子商务,仪器仪表/工业自动化",1.2-2万/月
Android开发工程师,南京红松信息技术有限公司,南京-雨花台区,3-4年经验,大专,招若干人,1-28发布,民营公司,50-150人,"互联网/电子商务,教育/培训/院校",1-1.5万/月
Android开发工程师,广州五六巴巴信息科技有限公司,广州-白云区,2年经验,大专,招若干人,1-28发布,民营公司,50-150人,互联网/电子商务,1-1.2万/月
Android开发工程师,广东修炼科技股份有限公司,广州-天河区,3-4年经验,本科,招若干人,1-28发布,民营公司,50-150人,"计算机服务(系统、数据服务、维修),互联网/电子商务",1-1.5万/月
Android开发工程师,武汉皆能时空关联科技有限公司,武汉-东西湖区,1年经验,本科,招2人,1-28发布,民营公司,少于50人,互联网/电子商务,0.8-1万/月
Android开发工程师,韫影（上海）科技信息技术有限公司,上海-徐汇区,3-4年经验,大专,招1人,1-28发布,民营公司,少于50人,互联网/电子商务,1.3-2.2万/月
Android高级软件工程师,格尔软件股份有限公司,西安-雁塔区,5-7年经验,本科,招2人,1-28发布,上市公司,150-500人,"计算机软件,互联网/电子商务",1-2万/月
Android高级开发工程师,杭州?v全科技发展有限公司,杭州-余杭区,3-4年经验,本科,招2人,1-28发布,民营公司,150-500人,"互联网/电子商务,政府/公共事业",1.4-2.5万/月
Android开发工程师,成都浩石科技有限公司,成都,2年经验,本科,招1人,1-28发布,民营公司,少于50人,互联网/电子商务,0.8-1万/月
Android开发工程师/双休社保,广州洛克韦陀安防科技有限公司,广州-天河区,2年经验,大专,招1人,1-28发布,民营公司,50-150人,"互联网/电子商务,家具/家电/玩具/礼品",1-1.5万/月
Android,大昌汽车俱乐部有限公司,金华-金东区,2年经验,大专,招1人,1-28发布,民营公司,1000-5000人,"互联网/电子商务,汽车",0.8-1万/月
Android开发工程师,一嗨租车有限公司,上海-普陀区,2年经验,本科,招若干人,1-27发布,上市公司,5000-10000人,"互联网/电子商务,交通/运输/物流",0.8-1.5万/月
Android开发工程师,广州极飞科技有限公司,广州-天河区,3-4年经验,本科,招1人,1-27发布,合资,500-1000人,"互联网/电子商务,电子技术/半导体/集成电路",1.5-2.5万/月
Android 开发工程师,广州知识链网络科技有限公司,广州-天河区,2年经验,大专,招若干人,1-27发布,民营公司,50-150人,"计算机软件,互联网/电子商务",1-2万/月
android开发工程师,西安闪游网络科技有限公司,西安-未央区,1年经验,大专,招2人,1-27发布,民营公司,50-150人,"互联网/电子商务,网络游戏",1-1.5万/月
